Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA single nuclei brain specificity	RNA single nuclei brain distribution	RNA single nuclei brain specificity score	RNA single nuclei brain specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	Secretome function	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Brain expression cluster	Cell line expression cluster	Single cell expression cluster	Interactions	Subcellular main location	Subcellular additional location	Antibody RRID	Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)	Cancer prognostics - Breast Invasive Carcinoma (TCGA)	Cancer prognostics - Breast Invasive Carcinoma (validation)	Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)	Cancer prognostics - Colon Adenocarcinoma (TCGA)	Cancer prognostics - Colon Adenocarcinoma (validation)	Cancer prognostics - Glioblastoma Multiforme (TCGA)	Cancer prognostics - Glioblastoma Multiforme (validation)	Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)	Cancer prognostics - Kidney Chromophobe (TCGA)	Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)	Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)	Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)	Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)	Cancer prognostics - Liver Hepatocellular Carcinoma (validation)	Cancer prognostics - Lung Adenocarcinoma (TCGA)	Cancer prognostics - Lung Adenocarcinoma (validation)	Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)	Cancer prognostics - Lung Squamous Cell Carcinoma (validation)	Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)	Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)	Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)	Cancer prognostics - Pancreatic Adenocarcinoma (validation)	Cancer prognostics - Prostate Adenocarcinoma (TCGA)	Cancer prognostics - Rectum Adenocarcinoma (TCGA)	Cancer prognostics - Rectum Adenocarcinoma (validation)	Cancer prognostics - Skin Cuteneous Melanoma (TCGA)	Cancer prognostics - Stomach Adenocarcinoma (TCGA)	Cancer prognostics - Testicular Germ Cell Tumor (TCGA)	Cancer prognostics - Thyroid Carcinoma (TCGA)	Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)
CFI	C3b-INA, FI, IF, KAF	ENSG00000205403	Complement factor I	P05156	4	109731008-109802150	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Complement pathway, Host-virus interaction, Immunity, Innate immunity	Hydrolase, Protease, Serine protease	Age-related macular degeneration, Disease variant, Hemolytic uremic syndrome	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	liver: 952.1	Cell type enhanced	Detected in many		"Cholangiocytes: 108.7;Hepatocytes: 454.5;Muller glia cells: 114.1;Proximal tubular cells: 195.1"	Cell type enriched	Detected in some	6	endothelial cell: 68.4	Cancer enhanced	Detected in all		Liver Hepatocellular Carcinoma (TCGA): 187.9	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many			Adipose subcutaneous - Endothelial cells, Colon - Endothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Spleen - Endothelial cells	Not detected	Not detected			Low region specificity	Detected in all			HPA001143, CAB016777, HPA024061	Supported				Secreted to blood	Complement pathway	NA	NA	30300000000	14000000000		Cluster 1: Liver & Kidney - Metabolism	Cluster 39: Astrocytes - Mixed function	Cluster 71: Lymphoma - Inflammatory response	Cluster 62: Hepatocytes - Metabolism	6			CAB016777: , HPA001143: AB_1078555, HPA024061: AB_1847129	unprognostic (1.51e-1)	unprognostic (1.28e-1)	unprognostic (8.81e-2)	unprognostic (2.08e-2)	unprognostic (2.63e-1)	unprognostic (1.36e-1)	unprognostic (3.24e-3)	unprognostic (5.79e-2)	unprognostic (1.09e-1)	unprognostic (2.08e-2)	unprognostic (1.49e-3)	unprognostic (5.25e-4)	unprognostic (3.06e-1)	unprognostic (8.56e-2)	unprognostic (1.38e-4)	unprognostic (3.67e-1)	unprognostic (2.29e-1)	unprognostic (6.05e-2)	unprognostic (3.92e-2)	unprognostic (6.16e-2)	unprognostic (3.70e-2)	unprognostic (1.35e-1)	unprognostic (1.36e-1)	unprognostic (3.02e-1)	unprognostic (4.74e-2)	unprognostic (4.14e-1)	unprognostic (1.63e-2)	unprognostic (6.06e-2)	unprognostic (1.57e-1)	unprognostic (1.47e-1)	unprognostic (6.74e-2)
COLEC10	CL-10, CL-L1	ENSG00000184374	Collectin subfamily member 10	Q9Y6Z7	8	118995452-119108455	Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins			Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	6	liver: 63.7	Cell type enhanced	Detected in some		"Cardiomyocytes: 3.7;Excitatory neurons: 6.7;Inhibitory neurons: 5.2;Oligodendrocytes: 4.5;Oocytes: 23.5"	Cell type enhanced	Detected in many		mammillary body: 29.7	Cancer enhanced	Detected in some		Kidney Renal Papillary Cell Carcinoma (TCGA): 1.6	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		"Kidney cancer: 7.8;Neuroblastoma: 8.8"	Liver - Hepatic stellate cells	Not detected	Not detected			Low region specificity	Detected in all								Secreted to blood	No annotated function	NA	NA	1870000000	66000000		Cluster 83: Liver - Metabolism	Cluster 52: Neurons & Synapses - Synaptic function	Cluster 64: Connective tissue cells - ECM organization	Cluster 50: Connective tissue cells - ECM organization							unprognostic (7.91e-2)									unprognostic (7.05e-2)	unprognostic (1.94e-1)	unprognostic (6.63e-4)	unprognostic (3.31e-3)																
CP	AB073614	ENSG00000047457	Ceruloplasmin	P00450	3	149162410-149221829	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters		Oxidoreductase	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	4	liver: 1815.4	Cell type enhanced	Detected in many		"Club cells: 294.5;Glandular and luminal cells: 433.6;Hepatocytes: 1419.3;Kupffer cells: 444.2;Muller glia cells: 594.4"	Group enriched	Detected in all	6	"choroid plexus epithelial cell: 361.5;ependymal cell: 209.6"	Cancer enhanced	Detected in many		Liver Hepatocellular Carcinoma (TCGA): 256.0	Region enriched	Detected in all	5	choroid plexus: 227.9	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		"Kidney cancer: 49.6;ovarian cancer: 45.2;Rhabdoid: 37.2"	Liver - Hepatocytes, Lung - Respiratory ciliated cells, Minor Salivary Gland - Minor salivary glandular cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA001834, CAB008591	Supported				Secreted to blood	Enzyme	NA	NA	1,6E+11	3,7E+11		Cluster 31: Liver - Plasma proteins	Cluster 36: Choroid plexus - Mixed function	Cluster 15: Kidney cancer - Membrane components	Cluster 62: Hepatocytes - Metabolism	11			CAB008591: AB_1613734, HPA001834: AB_1078502	unprognostic (9.77e-2)	unprognostic (2.70e-1)	unprognostic (5.24e-3)	unprognostic (1.54e-1)	unprognostic (2.61e-1)	unprognostic (1.27e-1)	unprognostic (2.12e-2)	unprognostic (1.53e-1)	unprognostic (1.67e-2)		unprognostic (1.03e-2)	unprognostic (1.20e-1)	unprognostic (1.15e-1)	unprognostic (8.21e-2)	unprognostic (1.40e-1)	unprognostic (2.03e-2)	unprognostic (5.64e-4)	unprognostic (2.62e-2)	unprognostic (4.26e-2)	unprognostic (1.61e-1)	unprognostic (3.36e-3)	unprognostic (7.63e-2)	unprognostic (6.72e-3)	unprognostic (3.08e-1)	unprognostic (8.24e-2)	unprognostic (2.90e-1)		unprognostic (7.16e-3)	unprognostic (1.12e-1)	unprognostic (1.16e-1)	unprognostic (8.07e-3)
CPB2	CPU, PCPB, TAFI	ENSG00000080618	Carboxypeptidase B2	Q96IY4	13	46053186-46105033	Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Blood coagulation, Fibrinolysis, Hemostasis	Carboxypeptidase, Hydrolase, Metalloprotease, Protease	FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	84	liver: 1439.0	Cell type enriched	Detected in some	5	Hepatocytes: 1226.7	Cell type enhanced	Detected in many		oligodendrocyte: 87.4	Cancer enriched	Detected in some	60	Liver Hepatocellular Carcinoma (TCGA): 299.7	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	6	liver cancer: 11.2	Liver - Hepatocytes, Lung - Alveolar cells type 2	Not detected	Not detected			Low region specificity	Detected in some			HPA004146	Approved				Secreted to blood	Blood coagulation	NA	NA		6100000000		Cluster 31: Liver - Plasma proteins	Cluster 28: Oligodendrocytes - Mixed function	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism				HPA004146: AB_1078397			unprognostic (3.31e-1)											unprognostic (1.39e-4)	unprognostic (2.77e-3)	unprognostic (1.81e-2)	unprognostic (8.18e-2)						unprognostic (5.23e-3)			unprognostic (1.12e-1)					
CPN1		ENSG00000120054	Carboxypeptidase N subunit 1	P15169	10	100042193-100081869	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins		Carboxypeptidase, Hydrolase, Metalloprotease, Protease	Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	55	liver: 79.5	Cell type enriched	Detected in some	4	Hepatocytes: 35.4	Not detected	Not detected			Group enriched	Detected in some	9	"Liver Hepatocellular Carcinoma (TCGA): 32.2;Skin Cuteneous Melanoma (TCGA): 19.5"	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	6	skin cancer: 35.3	Liver - Hepatocytes	Low region specificity	Detected in some			Not detected	Not detected								Secreted to blood	Enzyme	NA	NA		9500000000		Cluster 31: Liver - Plasma proteins		Cluster 69: Skin cancer - ECM organization	Cluster 62: Hepatocytes - Metabolism	4																	unprognostic (2.73e-2)	unprognostic (3.21e-2)												unprognostic (2.00e-1)		unprognostic (2.15e-1)		
CPN2	ACBP	ENSG00000178772	Carboxypeptidase N subunit 2	P22792	3	194339768-194351328	Plasma proteins, Predicted secreted proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	15	liver: 212.0	Cell type enriched	Detected in some	10	Hepatocytes: 143.8	Cell type enhanced	Detected in single		fibroblast: 1.1	Cancer enriched	Detected in some	24	Liver Hepatocellular Carcinoma (TCGA): 76.4	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	11	liver cancer: 7.5	Adipose visceral - Adipocytes (Visceral), Kidney - Proximal tubular cells, Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in many			HPA004732	Uncertain				Secreted to blood	No annotated function	NA	NA	299000000	17000000000		Cluster 31: Liver - Plasma proteins	Cluster 9: Non-specific - Receptor signaling	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism				HPA004732: AB_1078561			unprognostic (2.19e-1)			unprognostic (5.28e-3)					unprognostic (1.75e-3)	unprognostic (2.11e-1)	unprognostic (9.31e-3)	unprognostic (5.91e-4)	unprognostic (8.69e-2)											unprognostic (8.75e-2)					
CRP	PTX1	ENSG00000132693	C-reactive protein	P02741	1	159712289-159714589	Cancer-related genes, Candidate cardiovascular disease genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Acute phase		Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	80	liver: 9151.6	Group enriched	Detected in some	7	"Ductal cells: 1316.9;Hepatocytes: 3016.1"	Not detected	Not detected			Cancer enriched	Detected in many	11	Liver Hepatocellular Carcinoma (TCGA): 885.0	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		Gastric cancer: 1.1		Not detected	Not detected			Low region specificity	Detected in all			CAB005036, HPA027367, HPA027396	Supported		Approved	Nucleoplasm,Vesicles,Intermediate filaments	Secreted to blood	Acute phase	NA	NA	2920000000	3900000000		Cluster 31: Liver - Plasma proteins		Cluster 51: Myeloma - Immunoglobulins	Cluster 62: Hepatocytes - Metabolism	7	Nucleoplasm, Vesicles	Intermediate filaments	CAB005036: AB_562362, HPA027367: AB_1847216, HPA027396: AB_1847217	unprognostic (4.41e-2)		unprognostic (4.68e-1)	unprognostic (4.36e-1)							unprognostic (1.57e-3)	unprognostic (1.00e-1)	unprognostic (1.90e-2)	unprognostic (1.79e-1)	unprognostic (1.48e-1)							unprognostic (1.90e-2)	unprognostic (1.38e-3)				unprognostic (8.16e-3)	unprognostic (6.04e-2)			
CXCL2	CINC-2a, GRO2, GROb, MGSA-b, MIP-2a, SCYB2	ENSG00000081041	C-X-C motif chemokine ligand 2	P19875	4	74097040-74099196	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Chemotaxis, Inflammatory response	Cytokine	Cancer-related genes	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	liver: 497.7	Cell type enhanced	Detected in many		"Alveolar cells type 2: 1419.5;Basal respiratory cells: 3098.3;Ionocytes: 2347.3;Langerhans cells: 2541.9;monocytes: 2355.2;Secretory cells: 2445.0"	Cell type enriched	Detected in some	5	endothelial cell: 89.8	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Group enriched	Detected in some	6	"intermediate monocyte: 1.1;non-classical monocyte: 1.1"	Lineage enriched	Detected in single	10	monocytes: 1.1	Low cancer specificity	Detected in many			Pancreas - Ductal cells														Secreted to blood	Chemokine	NA	NA	500000			Cluster 83: Liver - Metabolism	Cluster 56: Hypothalamus - Neuropeptide signaling	Cluster 53: Squamous epithelial cells - Keratinization	Cluster 29: Monocytes - Innate immune response	5				unprognostic (7.21e-2)	unprognostic (8.78e-5)	unprognostic (1.70e-4)	unprognostic (2.23e-5)	unprognostic (1.69e-2)	unprognostic (1.05e-1)	unprognostic (8.96e-4)	unprognostic (1.07e-1)	unprognostic (7.55e-2)		unprognostic (1.15e-5)	unprognostic (4.02e-2)	unprognostic (1.23e-2)	unprognostic (6.95e-3)	unprognostic (2.25e-3)	unprognostic (1.17e-1)	unprognostic (1.34e-1)	unprognostic (1.01e-2)	unprognostic (1.29e-1)	unprognostic (2.21e-1)	unprognostic (2.21e-4)	unprognostic (1.37e-1)	unprognostic (2.41e-1)	unprognostic (5.61e-2)	unprognostic (1.52e-2)	unprognostic (2.98e-5)	unprognostic (1.14e-1)	unprognostic (2.31e-2)		unprognostic (1.80e-1)	unprognostic (3.45e-1)
EPO	EP	ENSG00000130427	Erythropoietin	P01588	7	100720468-100723700	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Predicted secreted proteins	Erythrocyte maturation	Hormone	Cancer-related genes, Congenital erythrocytosis, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	6	liver: 46.0	Group enriched	Detected in some	4	"Exocrine glandular cells: 6.4;Extravillous trophoblasts: 16.8;Hepatocytes: 18.5"	Not detected	Not detected			Group enriched	Detected in some	8	"Kidney Renal Clear Cell Carcinoma (TCGA): 8.8;Liver Hepatocellular Carcinoma (TCGA): 2.2"	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		liver cancer: 1.0	Minor Salivary Gland - Minor salivary glandular cells	Not detected	Not detected			Not detected	Not detected			CAB010336	Supported				Secreted to blood	Hormone	NA	NA	12300			Cluster 83: Liver - Metabolism		Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	6			CAB010336: AB_2098408			unprognostic (3.40e-1)								unprognostic (1.20e-2)	unprognostic (3.65e-2)		unprognostic (1.37e-5)	unprognostic (4.32e-3)																
F11	FXI	ENSG00000088926	Coagulation factor XI	P03951	4	186266189-186289681	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Blood coagulation, Hemostasis	Heparin-binding, Hydrolase, Protease, Serine protease	Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	4	liver: 235.6	Cell type enriched	Detected in some	7	Hepatocytes: 69.2	Cell type enriched	Detected in some	9	midbrain-derived inhibitory: 33.8	Cancer enriched	Detected in some	12	Liver Hepatocellular Carcinoma (TCGA): 39.8	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		liver cancer: 1.8	Kidney - Ascending Loop of Henle cells, Liver - Hepatocytes, Lung - Alveolar cells type 2	Not detected	Not detected			Low region specificity	Detected in all			HPA039808			Approved	Vesicles	Secreted to blood	Blood coagulation	NA	NA		2800000000		Cluster 83: Liver - Metabolism	Cluster 38: Sub-cortical - Mixed function	Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism		Vesicles		HPA039808: AB_2676693										unprognostic (1.91e-2)	unprognostic (4.70e-4)	unprognostic (2.90e-3)		unprognostic (7.02e-5)	unprognostic (2.94e-5)	unprognostic (4.03e-2)	unprognostic (6.51e-2)					unprognostic (6.81e-2)									
F12		ENSG00000131187	Coagulation factor XII	P00748	5	177402133-177416583	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins	Blood coagulation, Fibrinolysis, Hemostasis	Hydrolase, Protease, Serine protease	Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	311	liver: 589.9	Cell type enriched	Detected in many	5	Hepatocytes: 375.4	Cell type enhanced	Detected in many		hippocampal CA4: 19.9	Cancer enriched	Detected in many	100	Liver Hepatocellular Carcinoma (TCGA): 235.6	Not detected	Not detected			Immune cell enhanced	Detected in single		eosinophil: 1.7	Lineage enhanced	Detected in single		granulocytes: 1.7	Low cancer specificity	Detected in many			Kidney - Proximal tubular cells, Liver - Hepatocytes, Stomach - Mitotic cells (Stomach)	Low region specificity	Detected in single			Not detected	Not detected			HPA003825	Approved				Secreted to blood	Blood coagulation	NA	NA	1040000	7400000000	Cluster 19: Eosinophils - Unknown function	Cluster 31: Liver - Plasma proteins		Cluster 71: Lymphoma - Inflammatory response	Cluster 62: Hepatocytes - Metabolism	43			HPA003825: AB_1078790			unprognostic (3.27e-1)	unprognostic (1.13e-3)	unprognostic (8.05e-2)	unprognostic (1.01e-2)	unprognostic (7.21e-2)		unprognostic (3.11e-1)		unprognostic (9.57e-3)	unprognostic (6.14e-2)	unprognostic (2.25e-1)	unprognostic (8.62e-5)	unprognostic (8.20e-4)						unprognostic (4.44e-1)	unprognostic (3.54e-1)	unprognostic (9.99e-2)		unprognostic (4.05e-1)	unprognostic (1.14e-1)		unprognostic (1.13e-1)			
F13B	FXIIIB	ENSG00000143278	Coagulation factor XIII B chain	P05160	1	197038741-197067260	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Blood coagulation, Hemostasis		Cancer-related genes, Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	210	liver: 194.1	Cell type enriched	Detected in some	16	Hepatocytes: 59.1	Not detected	Not detected			Cancer enriched	Detected in single	496	Liver Hepatocellular Carcinoma (TCGA): 49.5	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in all			HPA003827, HPA052139	Supported				Secreted to blood	Blood coagulation	NA	NA		4900000000		Cluster 31: Liver - Plasma proteins		Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	1			HPA003827: AB_1078794, HPA052139: AB_2681744														unprognostic (5.29e-5)	unprognostic (3.12e-2)																
F2		ENSG00000180210	Coagulation factor II, thrombin	P00734	11	46719196-46739506	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Acute phase, Blood coagulation, Hemostasis	Hydrolase, Protease, Serine protease	Cancer-related genes, Disease variant, FDA approved drug targets, Thrombophilia	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	1310	liver: 1180.6	Cell type enriched	Detected in some	7	Hepatocytes: 841.1	Low cell type specificity	Detected in single			Cancer enriched	Detected in some	87	Liver Hepatocellular Carcinoma (TCGA): 705.0	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	10	liver cancer: 64.3	Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in all			CAB016780, HPA051476, HPA054698	Enhanced				Secreted to blood	Blood coagulation	NA	NA	1,08E+11	54000000000		Cluster 31: Liver - Plasma proteins	Cluster 15: Non-specific - Transcription	Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	8			CAB016780: , HPA051476: AB_2681498, HPA054698: AB_2682578											unprognostic (1.12e-6)	unprognostic (3.15e-4)		unprognostic (1.26e-1)	unprognostic (3.51e-3)	unprognostic (1.23e-4)												unprognostic (7.76e-3)	unprognostic (4.13e-1)		
F7		ENSG00000057593	Coagulation factor VII	P08709	13	113105788-113120685	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins	Blood coagulation, Hemostasis	Hydrolase, Protease, Serine protease	Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	102	liver: 156.3	Cell type enriched	Detected in some	7	Hepatocytes: 119.3	Cell type enhanced	Detected in some		mammillary body: 1.2	Cancer enriched	Detected in some	16	Liver Hepatocellular Carcinoma (TCGA): 54.1	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		"breast cancer: 3.0;liver cancer: 8.7"	Liver - Hepatocytes	Not detected	Not detected			Not detected	Not detected								Secreted to blood	Blood coagulation	NA	NA	351000000	720000000		Cluster 31: Liver - Plasma proteins	Cluster 1: Neurons - Mixed function	Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	3					unprognostic (7.22e-2)	unprognostic (9.92e-2)							unprognostic (3.40e-5)				unprognostic (4.23e-3)	unprognostic (1.77e-1)											unprognostic (1.50e-1)			unprognostic (1.68e-1)		
